ticket_id,title,description,category,resolution,priority,
TKT-1001,VPN disconnects on US-East,Every time I connect to the US-East VPN endpoint from my home network (IP: 192.168.1.45), it drops after 5 minutes.,Network,Updated Cisco AnyConnect client to v4.10 and cleared local DNS cache.,Medium
TKT-1002,Need Jira Access,Hi I am Sarah Jenkins (sarah.jenkins@company.com). I need access to the Q3 Roadmap board in Jira.,Access Management,Granted 'Viewer' role to Sarah Jenkins for the Q3 Roadmap project via Okta provisioning.,Low,
TKT-1003,MongoDB Connection Pool Exhausted,The production Express backend is throwing 'MongoTimeoutError: Server selection timed out'. The app is down.,Database,Increased maxPoolSize in the Mongoose connection string from 100 to 250 and restarted the Node pods.,Critical,
TKT-1004,Jenkins worker node offline,Builds are queued. Node worker-04 is showing as offline in the Jenkins UI.,Infrastructure,Restarted the Jenkins agent service on worker-04. System rebooted successfully.,High,
TKT-1005,Jenkins worker node offline,Node worker-05 is offline. CI/CD pipeline is stalled.,Infrastructure,Restarted the Jenkins agent service on worker-05. Investigating root cause of agent crashes.,High,
TKT-1006,Jenkins worker node offline,Worker-06 just went offline. We can't deploy.,Infrastructure,Triggered automated agent restart script. Escalated to DevOps for permanent fix.,High,
TKT-1007,React frontend showing blank screen,When navigating to /dashboard the React app crashes and shows a white screen. Console says 'Cannot read properties of undefined (reading map)'.,Application,Added optional chaining to the data.map() function in Dashboard.jsx. Hotfix deployed to staging.,High,
TKT-1008,I clicked a bad link,I think I messed up. I clicked a link from admin-update@vendor-billing-fake.com and typed my password.,Security,Immediately isolated user machine from network. Forced global password reset and initiated malware scan.,Critical,
TKT-1009,S3 bucket permission denied,My microservice can't upload images. Getting a 403 Forbidden on the 'prod-user-uploads' S3 bucket.,Storage,Updated IAM role attached to the microservice to include s3:PutObject permissions for that specific bucket.,Medium,
TKT-1010,It doesn't work,The thing is broken when I click it. Please fix ASAP.,Application,Escalated for clarification. User needs to provide exact URL and error message.,Low,
TKT-1011,Redis Cache Evictions,We are seeing massive cache evictions in the staging Redis cluster. Latency is spiking.,Database,Upgraded Redis instance type to provide more memory. Adjusted maxmemory-policy to volatile-lru.,High,
TKT-1012,AWS Console login failing,MFA code is not working when trying to log into the AWS root console.,Access Management,Resynced virtual MFA device for the user in the IAM console.,High,
TKT-1013,OOMKilled pods in kube-system,CoreDNS pods in the Kubernetes cluster are constantly getting OOMKilled.,Infrastructure,Increased memory limits in the CoreDNS deployment manifest from 170Mi to 256Mi.,Critical,
TKT-1014,Kafka consumer lag spiking,The consumer group processing order-events is lagging by 50,000 messages.,Application,Scaled up consumer pod replicas from 3 to 8. Investigating slow processing in the Node.js handler.,High
TKT-1015,Phishing email reported,Received an email asking for W2 forms from 'ceo-personal@gmail.com'. Did not click.,Security,Added sender domain to Exchange blocklist. Sent company-wide reminder about tax season phishing.,Medium,
TKT-1016,Database query slow,The daily reporting query is taking 45 minutes to run on PostgreSQL.,Database,Created a composite index on (created_at, status) for the orders table. Query time reduced to 2 minutes.,Medium
TKT-1017,Can't connect to WiFi in Office 3,Sitting in conference room C. The 'Corp_Wifi' network is rejecting my credentials.,Network,Reset RADIUS server password for the user and forgot the network on their local machine.,Low,
TKT-1018,Disk space 99% full on logging server,The /var/log partition on log-server-01 is at 99%. ElasticSearch might crash.,Storage,Deleted archived logs older than 30 days and configured logrotate to compress files weekly.,Critical,
TKT-1019,Error 500,Seeing a 500 internal server error.,Application,Escalated to human triage queue for log retrieval and diagnosis.,Medium,
TKT-1020,Requesting GitHub Copilot license,I need a Copilot license for my IDE. My manager approved it.,Access Management,Assigned GitHub Copilot seat to user via the enterprise billing dashboard.,Low,
TKT-1021,API gateway rate limiting legitimate traffic,Clients are reporting 429 Too Many Requests errors during normal load.,Network,Adjusted rate limiting rules in Nginx config from 10 req/s to 50 req/s per IP for the /api/v1 route.,High,
TKT-1022,Need IP whitelisted,Please whitelist my home IP (203.0.113.42) for the staging database firewall.,Security,Added IP exception to the AWS Security Group for port 5432 for 48 hours.,Low,
TKT-1023,EBS volume resize,Need the data volume on the metrics server increased from 100GB to 500GB.,Storage,Modified EBS volume size in AWS console. Ran resize2fs on the server to expand the filesystem.,Medium,
TKT-1024,WebSocket connections dropping,Clients using the real-time chat feature are disconnecting randomly.,Application,Updated load balancer timeout settings to allow long-lived WebSocket connections.,High,
TKT-1025,Help with excel,How do I do a VLOOKUP?,Application,Closed ticket. Directed user to internal IT self-help wiki for Office 365 tutorials.,Low,
TKT-1026,VPN slow,My VPN (john.doe@company.com) is crawling at 10kbps. IP is 10.0.0.5.,Network,Reset user VPN profile and switched to UDP protocol.,Medium,
TKT-1027,Cannot access Confluence,Getting a 401 Unauthorized when hitting the engineering wiki.,Access Management,User account was locked due to inactivity. Unlocked via Okta.,Low,
TKT-1028,Redis Timeout,Production Redis instance is throwing connection timeouts for the auth service.,Database,Scaled ElastiCache node to higher tier to handle increased connection count.,Critical,
TKT-1029,Kubelet not ready,Node pool alpha has 3 nodes showing KubeletNotReady status.,Infrastructure,Restarted kubelet service on affected worker nodes and drained/cordoned for safety.,High,
TKT-1030,S3 Upload failing,The frontend cannot upload user avatars to s3://prod-avatars-bucket.,Storage,Fixed CORS policy on the S3 bucket to allow PUT requests from the production domain.,Medium,
TKT-1031,I need help,It is not working today.,Application,Escalated to human triage. Requested more information from user.,Low,
TKT-1032,Phishing attempt?,Got an email from hr-update@bamboo-hr-fake.com asking for my SSN.,Security,Confirmed phishing. Blocked domain at the email gateway and initiated company-wide purge.,High,
TKT-1033,App crash on login,React native app crashes instantly when I tap the login button on iOS 16.,Application,Reverted recent Auth0 SDK update in package.json. Deployed hotfix to App Store.,High,
TKT-1034,Postgres Deadlocks,Seeing transaction deadlocks in the PostgreSQL logs for the payments table.,Database,Refactored batch update query to sort rows by primary key before updating to prevent deadlocks.,Critical,
TKT-1035,Github Copilot not working,My IDE says I don't have an active license. Email is dev.guy@company.com.,Access Management,Re-synced GitHub Enterprise license seats. User now has access.,Low,
TKT-1036,us-east-1 API Gateway down,All requests to our main API gateway in us-east-1 are returning 503.,Network,AWS regional routing issue. Shifted traffic via Route53 to us-west-2 region.,Critical,
TKT-1037,API 503 error,Can't reach the backend API.,Network,Repeated issue. Linked to master ticket TKT-1036. Traffic shifted to us-west-2.,Critical,
TKT-1038,System down,Everything is broken. 503 errors everywhere.,Network,Repeated issue. Linked to master ticket TKT-1036. Traffic shifted to us-west-2.,Critical,
TKT-1039,Gateway timeout,Services failing in us-east-1.,Network,Repeated issue. Linked to master ticket TKT-1036. Traffic shifted to us-west-2.,Critical,
TKT-1040,us-east is down,Total outage on API endpoints.,Network,Repeated issue. Linked to master ticket TKT-1036. Traffic shifted to us-west-2.,Critical,
TKT-1041,EBS volume 100% full,The /data partition on db-slave-03 is completely out of space.,Storage,Extended EBS volume by 200GB and ran resize2fs.,High,
TKT-1042,Need admin rights,Can you make me a local admin on my machine? Hostname is DESKTOP-XJ902.,Access Management,Denied. Directed user to use the temporary elevation tool (MakeMeAdmin) per company policy.,Low,
TKT-1043,Exposed API Key,I accidentally pushed an AWS secret key to a public repo.,Security,Immediately revoked AWS access key in IAM. Ran git-filter-repo to scrub history.,Critical,
TKT-1044,MongoDB slow query,The users.find() query is taking 12 seconds.,Database,"Added missing compound index on (tenant_id, status) in the users collection.",Medium,
TKT-1045,Jenkins build hanging,The nightly regression pipeline has been running for 14 hours.,Infrastructure,Aborted hung build. Cleaned up orphaned Docker containers on the Jenkins agent.,Medium,
TKT-1046,Wifi password,What is the guest wifi password?,Network,Closed. Provided standard guest network onboarding documentation.,Low,
TKT-1047,Forgot my password,My phone number is 555-019-2034. I am locked out of Windows.,Access Management,Triggered self-service password reset flow to user's registered mobile device.,High,
TKT-1048,NFS mount stale,The shared media drive is throwing 'Stale file handle' errors.,Storage,Unmounted and forcefully remounted the NFS share on affected Linux workstations.,Medium,
TKT-1049,OOMKilled Node app,The Express backend pods keep restarting with OOMKilled status.,Application,Identified memory leak in the PDF generation module. Increased memory limits temporarily while dev fixes the leak.,High,
TKT-1050,Firewall blocking external API,Our microservice can't reach the Stripe API. Connection timeout.,Security,Added outbound rule to the VPC security group to allow port 443 to Stripe IP ranges.,Medium,
TKT-1051,Laptop screen cracked,I dropped my Dell laptop and the screen is shattered.,Infrastructure,Initiated hardware replacement workflow. Sent shipping box to user's home address.,Medium,
TKT-1052,Need Snowflake access,Please grant my role SELECT access to the marketing_data schema.,Database,Ran GRANT USAGE ON SCHEMA marketing_data TO ROLE data_analyst.,Medium,
TKT-1053,Broken link,Clicking the help button does nothing.,Application,Escalated to human triage. Need browser console logs from user.,Low,
TKT-1054,Malware detected,Windows Defender flagged a file in my downloads folder.,Security,Isolated machine via EDR tool. File confirmed as false positive (internal testing script). Un-isolated.,High,
TKT-1055,BGP route flapping,We are losing packets to the branch office router.,Network,Restarted BGP session on the core switch and adjusted hold timers.,High,
TKT-1056,Cannot edit Jira ticket,I have view access but the edit button is grayed out on PROJECT-X.,Access Management,Added user to the 'Contributors' group for PROJECT-X in Jira settings.,Low,
TKT-1057,Kafka topic partition full,The dead-letter-queue topic has maxed out its retention size.,Storage,Increased retention.bytes for the DLQ topic and triggered a consumer to drain it.,High,
TKT-1058,Redis max clients reached,Getting 'ERR max number of clients reached' on Redis.,Database,Identified a zombie connection issue in the Python worker pool. Restarted workers and set connection timeouts.,Critical,
TKT-1059,Cannot pull Docker image,ECR is returning 'no basic auth credentials' during the CI/CD pipeline.,Infrastructure,Updated the AWS IAM role attached to the Jenkins instance profile to allow ecr:GetAuthorizationToken.,High,
TKT-1060,Please help,Need assistance with a thing.,Application,Escalated to human triage queue due to insufficient detail.,Low,
TKT-1061,Suspicious login from Russia,Got an alert that my account was logged into from an IP in Moscow.,Security,Invalidated all active sessions. Forced MFA re-enrollment and password reset.,Critical,
TKT-1062,502 Bad Gateway on staging,Staging environment UI is throwing 502s.,Network,Nginx ingress controller pod was crashlooping. Restarted the ingress controller deployment.,Medium,
TKT-1063,AWS billing alert,"We just crossed $10k on AWS this month, usually it's $2k.",Infrastructure,Found orphaned EC2 instance running crypto mining malware. Terminated instance and initiated security review.,Critical,
TKT-1064,Database schema update failed,Flyway migration V24__add_user_roles.sql failed on production.,Database,Rolled back transaction. Fixed syntax error in the migration script and re-queued deployment.,High,
TKT-1065,Lost 2FA phone,I lost my phone and cannot log into Okta. Email: sarah.connor@company.com.,Access Management,Verified user identity via Zoom. Cleared old MFA token and generated a temporary bypass code.,High,
TKT-1066,Need Visio license,Manager approved. Please install Microsoft Visio.,Access Management,Assigned Visio Plan 2 license in Office 365 Admin portal.,Low,
TKT-1067,S3 objects not deleting,Lifecycle policy to delete files older than 90 days isn't working.,Storage,"Object Versioning was enabled, causing the policy to create delete markers instead of hard deleting. Updated policy to expire noncurrent versions.",Medium,
TKT-1068,CORS error on localhost,Frontend devs are getting CORS blocked when calling the dev API.,Application,Added 'http://localhost:3000' to the allowed origins list in the development environment config.,Low,
TKT-1069,VPN certificate expired,My OpenVPN client says 'certificate has expired'.,Security,Generated new client certificate in the VPN portal and emailed secure download link to user.,Medium,
TKT-1070,MySQL replication lag,The read replica is 500 seconds behind the master database.,Database,Temporarily paused heavy analytical queries on the replica to allow the replication thread to catch up.,High,
TKT-1071,Terraform state locked,Someone cancelled a pipeline and the Terraform state lock in DynamoDB is stuck.,Infrastructure,Manually deleted the lock item in the DynamoDB terraform-state-lock table.,Medium,
TKT-1072,Cannot reach internal DNS,Ping to internal.api.local is failing. IP: 192.168.100.55.,Network,User was connected to the wrong VPN profile. Instructed user to connect to 'Corp-Full-Tunnel'.,Low,
TKT-1073,Error processing payment,Customers are getting an 'Unhandled Promise Rejection' on checkout.,Application,Caught missing await keyword in the Stripe integration function. Pushed hotfix to production.,Critical,
TKT-1074,Need a new mouse,My scroll wheel is broken.,Infrastructure,Approved hardware request. New peripheral shipped from IT stock.,Low,
TKT-1075,How do I use Slack?,Need training on how to create a channel.,Application,Closed ticket. Sent link to internal Slack onboarding video.,Low,
TKT-1076,RDS CPU at 100%,The primary PostgreSQL RDS instance is pegged at 100% CPU.,Database,Identified a runaway reporting query. Killed the pg_stat_activity PID to restore service.,Critical,
TKT-1077,SAML configuration error,Getting SAML Assertion error when logging into Datadog.,Access Management,Updated the SSO certificate in the Datadog admin console to match the newly rotated Okta cert.,High,
TKT-1078,Disk quota exceeded,I can't save files to the shared network drive Z:/.,Storage,User reached 50GB personal quota. Approved 10GB extension based on manager request.,Low,
TKT-1079,Memory leak in sidecar,The FluentBit sidecar container is consuming 4GB of RAM.,Infrastructure,Updated FluentBit configuration to reduce chunk size and enable memory limits on the pod spec.,Medium,
TKT-1080,SSL Certificate expired,The marketing website is showing a 'Not Secure' warning.,Security,Forced manual renewal of the Let's Encrypt certificate via Certbot and reloaded Nginx.,High,
TKT-1081,Stuck on loading screen,App just spins forever.,Application,Escalated to triage. Asked user to clear browser cache and try incognito mode.,Low,
TKT-1082,Can't connect to DB,HeidiSQL is failing to connect to the dev database.,Network,User IP was not in the allowed security group. Added their office IP to the whitelist.,Low,
TKT-1083,Node pool scaling failed,Cluster autoscaler is failing to add new nodes to the AWS EKS cluster.,Infrastructure,Increased the ASG max size limit in AWS console which was blocking the autoscaler.,High,
TKT-1084,Redis cache miss spike,Cache hit ratio dropped to 10% after the latest deployment.,Database,"Fixed bug where cache keys were being generated with a dynamic timestamp, preventing hits.",High,
TKT-1085,Access denied on folder,I need read access to the HR-Policies folder on the shared drive.,Access Management,Added user to the 'HR-ReadOnly' Active Directory group.,Low,
TKT-1086,Email delivery failing,Emails sent from our domain to Gmail are bouncing.,Network,Fixed broken SPF record in Cloudflare DNS settings.,High,
TKT-1087,Hard drive clicking,My desktop tower is making a loud clicking noise and freezing.,Storage,Identified failing mechanical HDD. Dispatched tech to replace with SSD and image data.,High,
TKT-1088,Unrecognized login,Who logged into my account from China? IP 220.181.38.148.,Security,"Confirmed compromised credentials. Disabled account, revoked tokens, initiated incident response.",Critical,
TKT-1089,Jira webhook failing,The webhook sending Jira updates to Slack is timing out.,Application,Restarted the internal microservice responsible for translating Jira webhook payloads to Slack blocks.,Medium,
TKT-1090,Pod crash loop,The auth-service pod is in a CrashLoopBackOff.,Infrastructure,Pod was missing a required ENV variable for the database URL. Added to deployment manifest.,High,
TKT-1091,MySQL out of memory,Database crashed with OOM error.,Database,Tuned innodb_buffer_pool_size down from 80% of RAM to 60% to leave room for OS processes.,Critical,
TKT-1092,Need Adobe Pro,Require Adobe Acrobat Pro for signing contracts.,Access Management,Provisioned Adobe Creative Cloud license.,Low,
TKT-1093,Can't read logs,Kibana is not showing any logs for the past 2 hours.,Storage,Logstash queue was backed up due to a bad grok pattern. Fixed pattern and restarted pipeline.,High,
TKT-1094,Blank email body,All system generated emails are arriving blank.,Application,Fixed typo in the Handlebars email template rendering logic.,Medium,
TKT-1095,VPC peering dropped,Connectivity between VPC-A and VPC-B is completely down.,Network,Restored deleted route table entry pointing traffic to the VPC peering connection.,Critical,
TKT-1096,It doesn't work,Fix it please.,Application,Escalated to human triage.,Low,
TKT-1097,I received a weird file,Someone sent me a file called 'invoice.exe' on Teams.,Security,Deleted file from user machine. Isolated workstation and ran deep malware scan. Blocked sender.,High,
TKT-1098,Postgres sequence out of sync,Getting primary key constraint violations on inserts.,Database,Ran SELECT setval() to update the sequence to the current max ID in the table.,Medium,
TKT-1099,Jenkins plugin error,The BlueOcean plugin is throwing Java exceptions.,Infrastructure,Rolled back plugin to previous stable version.,Medium,
TKT-1100,Need static IP,My home router needs a static IP for the VPN whitelist. IP 73.12.34.56.,Network,Added IP to the corporate VPN whitelist group in the firewall.,Low,
TKT-1101,EBS snapshot failing,Nightly backups are failing for the main file server.,Storage,Removed old snapshots to free up AWS account snapshot limits.,Medium,
TKT-1102,React Native build failed,Fastlane is failing to build the iOS app.,Application,Updated CocoaPods and re-ran pod install to fix dependency mismatch.,Medium,
TKT-1103,Forgot password again,"Hi it's me, I forgot my password again. 555-019-2034.",Access Management,Sent reset link. Suggested user utilize the enterprise password manager.,Medium,
TKT-1104,Missing index on table,Queries are doing a full table scan.,Database,Created B-Tree index on the foreign key column.,Medium,
TKT-1105,DDoS attack,We are seeing 100k requests per second from random IPs.,Security,Enabled Cloudflare 'Under Attack' mode and applied strict rate limiting WAF rules.,Critical,
TKT-1106,Kube API server unresponsive,kubectl commands are timing out.,Infrastructure,Scaled up the EKS control plane and restarted the API server instances.,Critical,
TKT-1107,Slack integration broken,Our app is no longer posting messages to the #alerts channel.,Application,Rotated the Slack Bot Token and updated it in the application secrets manager.,Medium,
TKT-1108,Cannot mount volume,Docker container fails to start because host volume doesn't exist.,Storage,Created missing directory on the host VM before deploying the container.,Low,
